l_id,r_id,label
www.ebay.com//48590,www.gosale.com//985,1
www.ebay.com//46753,www.gosale.com//1123,1
www.ebay.com//60463,www.gosale.com//919,1
www.ebay.com//43204,www.gosale.com//1318,1
www.camerafarm.com.au//788,www.ebay.com//48291,1
www.ebay.com//55003,www.gosale.com//1488,1
www.ebay.com//47964,www.gosale.com//733,1
www.ebay.com//56291,www.gosale.com//1283,1
www.ebay.com//53085,www.gosale.com//877,1
www.ebay.com//56712,www.gosale.com//876,1
www.camerafarm.com.au//807,www.ebay.com//57355,1
www.buzzillions.com//992,www.gosale.com//468,1
www.camerafarm.com.au//721,www.ebay.com//24772,1
www.ebay.com//59457,www.gosale.com//925,1
www.camerafarm.com.au//814,www.ebay.com//56705,1
www.ebay.com//42195,www.gosale.com//859,1
www.ebay.com//44731,www.gosale.com//460,1
www.ebay.com//24153,www.gosale.com//766,1
www.ebay.com//55516,www.gosale.com//1122,1
www.ebay.com//24544,www.gosale.com//1270,1
www.camerafarm.com.au//730,www.ebay.com//54313,1
www.gosale.com//1124,www.gosale.com//1349,1
www.ebay.com//45098,www.gosale.com//960,1
www.ebay.com//55589,www.gosale.com//733,1
www.ebay.com//48459,www.gosale.com//432,1
www.ebay.com//57554,www.gosale.com//1435,1
www.gosale.com//902,www.gosale.com//952,1
www.ebay.com//53591,www.gosale.com//738,1
www.ebay.com//57549,www.gosale.com//1487,1
www.ebay.com//47909,www.gosale.com//1455,1
www.ebay.com//45667,www.gosale.com//1459,1
www.ebay.com//46475,www.gosale.com//759,1
www.ebay.com//42718,www.gosale.com//837,1
www.ebay.com//42347,www.gosale.com//1188,1
www.ebay.com//44586,www.gosale.com//1274,1
www.ebay.com//44382,www.gosale.com//886,1
www.ebay.com//58522,www.gosale.com//1096,1
www.ebay.com//45793,www.gosale.com//1296,1
www.camerafarm.com.au//758,www.ebay.com//53260,1
www.ebay.com//42978,www.gosale.com//1276,1
www.camerafarm.com.au//807,www.ebay.com//44592,1
www.ebay.com//42393,www.gosale.com//986,1
www.gosale.com//1036,www.gosale.com//1264,1
www.ebay.com//54621,www.gosale.com//1183,1
www.ebay.com//59936,www.gosale.com//551,1
www.camerafarm.com.au//788,www.ebay.com//55761,1
www.ebay.com//47445,www.gosale.com//737,1
www.ebay.com//42444,www.gosale.com//1285,1
www.camerafarm.com.au//710,www.ebay.com//25152,1
www.ebay.com//60783,www.gosale.com//395,1
www.ebay.com//42835,www.gosale.com//1469,1
www.gosale.com//1151,www.walmart.com//702,1
www.ebay.com//59271,www.gosale.com//1337,1
